affix,word,sense,meaning,Affix,Source Word,Source Word Count,Derived Word,Derived word count,word_y
ly,voicelessly,manner,# in a [[voiceless]] manner.,ly,voiceless,3075,voicelessly,5,1302
ly,vociferously,manner,# in a [[vociferous]] manner.,ly,vociferous,655,vociferously,336,1302
ly,vocally,manner,# in a [[vocal]] manner.,ly,vocal,63282,vocally,1699,1302
ly,viviparously,manner,# {{lb|en|biology}} in a [[viviparous]] manner.,ly,viviparous,904,viviparously,5,1302
ly,vividly,manner,# in a [[vivid]] manner.,ly,vivid,8150,vividly,2185,1302
ly,vivaciously,manner,# in a [[vivacious]] manner.,ly,vivacious,736,vivaciously,12,1302
ly,visibly,manner,# in a [[visible]] manner; [[openly]].,ly,visible,59254,visibly,3872,1302
ly,forcedly,manner,"# in a manner that is, or seems, [[forced]].",ly,forced,199336,forcedly,32,1302
ly,forthrightly,manner,# in a [[forthright]] manner,ly,forthright,832,forthrightly,101,1302
ly,fractally,manner,# in a [[fractal]] manner.,ly,fractal,2099,fractally,11,1302
ly,forcefully,manner,# in a [[forceful]] manner; [[vigorously]]; [[powerfully]].,ly,forceful,3105,forcefully,3126,1302
ly,forcibly,manner,"# in a [[forcible]] manner, by [[force]], against one's will.",ly,forcible,1706,forcibly,7613,1302
ly,foreseeably,manner,# in a manner that could be foreseen.,ly,foreseeable,2192,foreseeably,33,1302
ly,forgetfully,manner,# in a [[forgetful]] manner,ly,forgetful,446,forgetfully,11,1302
ly,forlornly,manner,# in a [[forlorn]] manner.,ly,forlorn,772,forlornly,69,1302
ly,formally,manner,# in a [[formal]] manner.,ly,formal,81186,formally,66147,1302
ly,viscously,manner,# in a [[viscous]] manner.,ly,viscous,2473,viscously,13,1302
ly,virtuously,manner,# in a [[virtuous]] manner.,ly,virtuous,3066,virtuously,76,1302
ly,exploitably,manner,# in a [[manner]] that is [[capable]] of being [[exploit]]ed.,ly,exploitable,393,exploitably,9,1302
ly,inexactly,manner,# in a manner not [[exact]] or [[precise]]; [[inaccurately]].,ly,inexact,362,inexactly,16,1302
ly,voluminously,manner,# in a [[voluminous]] manner.,ly,voluminous,1695,voluminously,57,1302
ly,voluntarily,manner,# in a [[voluntary]] manner.,ly,voluntary,24352,voluntarily,9990,1302
ly,fatally,manner,# in a [[fatal]] manner; [[lethally]].,ly,fatal,22154,fatally,6039,1302
ly,faithfully,manner,# in a [[faithful]] manner.,ly,faithful,18124,faithfully,3039,1302
ly,familiarly,manner,# in a [[familiar]] manner<!--other wording-->,ly,familiar,33981,familiarly,599,1302
ly,fanatically,manner,"# in a [[fanatical]] manner; with [[extreme]], [[irrational]] [[zeal]] or [[enthusiasm]].",ly,fanatical,1558,fanatically,246,1302
ly,fancifully,manner,# in a [[fanciful]] manner.,ly,fanciful,1932,fancifully,114,1302
ly,fatefully,manner,# in a [[fateful]] manner.,ly,fateful,1595,fatefully,79,1302
ly,facilely,manner,# in a [[facile]] manner,ly,facile,637,facilely,13,1302
ly,favourably,manner,# {{lb|en|british|canada}} in a [[favourable]] manner.,ly,favourable,10933,favourably,2736,1302
ly,fawningly,manner,# in a [[feign]]ing manner; [[false]]ly.,ly,feigning,848,fawningly,5,1302
ly,feebly,manner,# in a [[feeble]] manner.,ly,feeble,1943,feebly,298,1302
ly,feloniously,manner,# in a [[felonious]] manner; in a manner that constitutes a [[felony]].,ly,felonious,188,feloniously,54,1302
ly,fervently,manner,# in a [[fervent]] manner,ly,fervent,2306,fervently,777,1302
ly,festively,manner,# in a [[festive]] manner,ly,festive,3891,festively,96,1302
ly,feudally,manner,# in a [[feudal]] manner.,ly,feudal,13020,feudally,35,1302
ly,faintly,manner,# in a [[faint]] manner; very [[quietly]] or [[lightly]].,ly,faint,6071,faintly,1470,1302
ly,greenly,manner,"# in a [[green]], [[fresh]] or [[immature]] manner.",ly,green,299843,greenly,155,1302
ly,greedily,manner,# in a [[greedy]] manner; with [[keen]] or [[ardent]] [[desire]]; [[avidly]]; [[eagerly]].,ly,greedy,3431,greedily,174,1302
ly,gratuitously,manner,"# [[freely|freely]]; in the manner of a [[gift]], without being [[earned]].",ly,gratuitous,966,gratuitously,261,1302
ly,glitteringly,manner,# in a [[glitter]]ing manner.,ly,glittering,1217,glitteringly,7,1302
ly,grumpily,manner,# in a [[grumpy]] manner; in a [[cranky]] manner.,ly,grumpy,1128,grumpily,25,1302
ly,grotesquely,manner,# in a [[grotesque]] manner; disgustingly.,ly,grotesque,3371,grotesquely,270,1302
ly,gluttonously,manner,# in a [[gluttonous]] manner.,ly,gluttonous,214,gluttonously,8,1302
ly,glacially,manner,# in a (literally or figuratively) [[icy]] manner; [[icily]]. {{defdate|from 19th c.}},ly,glacial,11371,glacially,254,1302
ly,glancingly,manner,# in a [[glancing]] manner,ly,glancing,528,glancingly,14,1302
ly,glaringly,manner,# in a [[glaring]] manner; so as to be highly [[visible]] or [[obvious]]; so as to [[attract]] [[notice]] or [[attention]].,ly,glaring,916,glaringly,115,1302
ly,glibly,manner,# in a [[glib]] manner.,ly,glib,372,glibly,70,1302
ly,gloatingly,manner,# in a [[gloat]]ing manner.,ly,gloating,272,gloatingly,15,1302
ly,gratifyingly,manner,# in a manner that [[gratify|gratifies]],ly,gratifying,582,gratifyingly,32,1302
ly,globosely,manner,# in a [[globose]] manner.,ly,globose,870,globosely,13,1302
ly,gloomily,manner,# in a [[gloomy]] manner.,ly,gloomy,1924,gloomily,62,1302
ly,glumly,manner,# in a [[glum]] manner.,ly,glum,212,glumly,44,1302
ly,grossly,manner,# in a [[gross]] manner; without [[delicacy]].,ly,gross,30961,grossly,1954,1302
ly,gracefully,manner,# in a [[graceful]] manner.,ly,graceful,3531,gracefully,997,1302
ly,graciously,manner,# in a [[gracious]] manner; with [[grace]] and [[courtesy]].,ly,gracious,1789,graciously,858,1302
ly,grammatically,manner,# in a [[grammatical]] manner,ly,grammatical,7067,grammatically,1094,1302
ly,fragmentarily,manner,# in a [[fragmentary]] manner.,ly,fragmentary,3697,fragmentarily,50,1302
ly,frankly,manner,"# {{lb|en|manner}} in a [[frank]], [[open]] or (too) [[honest]] manner.",ly,frank,137766,frankly,2050,1302
ly,fraternally,manner,# in a [[fraternal]] manner.,ly,fraternal,4327,fraternally,45,1302
ly,genially,manner,# in a [[genial]] manner; gaily; cheerfully.,ly,genial,884,genially,25,1302
ly,deftly,manner,# in a [[deft]] manner; [[quick]]ly and [[neat]]ly in action.,ly,deft,975,deftly,875,1302
ly,dangerously,manner,# in a [[dangerous]] manner.,ly,dangerous,51561,dangerously,3710,1302
ly,crossly,manner,# in a [[cross]] manner.,ly,cross,272932,crossly,10,1302
ly,crudely,manner,# in a [[crude]] manner.,ly,crude,13496,crudely,892,1302
ly,cruelly,manner,# in a [[cruel]] manner.,ly,cruel,11253,cruelly,1027,1302
ly,cubically,manner,# in a [[cubic]] manner,ly,cubical,308,cubically,15,1302
ly,customarily,manner,# {{lb|en|manner}} in the [[customary]] manner; as is [[custom]],ly,customary,11357,customarily,1931,1302
ly,cylindrically,manner,# in the manner of a [[cylinder]],ly,cylindrical,10063,cylindrically,117,1302
ly,cynically,manner,# in a [[cynical]] manner,ly,cynical,3758,cynically,375,1302
ly,daringly,manner,# in a [[daring]] manner; [[boldly]]; [[courageously]]; [[fearlessly]]; [[impudently]].,ly,daring,7262,daringly,218,1302
ly,crisply,manner,# in a [[crisp]] manner.,ly,crisp,4953,crisply,188,1302
ly,dashingly,manner,# in a [[dashing]] manner.,ly,dashing,1432,dashingly,24,1302
ly,dastardly,manner,# in the manner of a [[dastard]]; marked by [[cowardice]]; [[pusillanimous]],ly,dastard,40,dastardly,458,1302
ly,dearly,manner,# in a [[dear]] manner,ly,dear,12176,dearly,1535,1302
ly,decidedly,manner,"# in a manner which leaves little question; [[definitely]], [[clearly]].",ly,decided,266748,decidedly,3457,1302
ly,decurrently,manner,# in a [[decurrent]] manner.,ly,decurrent,349,decurrently,11,1302
ly,decussately,manner,# in a [[decussate]] manner.,ly,decussate,263,decussately,6,1302
ly,contemptuously,manner,# in a [[disrespectful]] or [[discourteous]] manner; [[condescendingly]].,ly,contemptuous,753,contemptuously,286,1302
ly,constitutively,manner,# in a [[constitutive]] manner,ly,constitutive,1540,constitutively,336,1302
ly,comprehensibly,manner,# in a [[comprehensible]] manner.,ly,comprehensible,901,comprehensibly,25,1302
ly,commendably,manner,# in a [[commendable]] manner.,ly,commendable,972,commendably,74,1302
ly,collectively,manner,"# in a [[collection]]; in a [[collective]] manner; together as a whole; bunched together; to be treated as a single unit, rather than the items that make up the collection separately.",ly,collective,45177,collectively,18280,1302
ly,collegially,manner,# in a [[collegial]] manner,ly,collegial,604,collegially,28,1302
ly,collegiately,manner,# in the manner of a community or of a group of [[colleague]]s.,ly,collegiate,35281,collegiately,1597,1302
ly,collusively,manner,# in a [[collusive]] manner; [[fraudulently]],ly,collusive,120,collusively,10,1302
ly,colorfully,manner,# in a [[colorful]] manner.,ly,colorful,10686,colorfully,292,1302
ly,comfortably,manner,# in a [[comfortable]] manner.,ly,comfortable,18266,comfortably,5963,1302
ly,comically,manner,# in a [[comical]] manner,ly,comical,3651,comically,1171,1302
ly,commensally,manner,# in a [[commensal]] manner.,ly,commensal,489,commensally,30,1302
ly,complimentarily,manner,# in a [[complimentary]] manner,ly,complimentary,2554,complimentarily,10,1302
ly,commutatively,manner,# in a [[commutative]] manner.,ly,commutative,3215,commutatively,8,1302
ly,compactly,manner,# in a [[compact]] manner,ly,compact,31675,compactly,558,1302
ly,comparatively,manner,# in a [[comparative]] manner.,ly,comparative,17800,comparatively,9853,1302
ly,compendiously,manner,# in a [[compendious]] manner.,ly,compendious,131,compendiously,5,1302
ly,competitively,manner,# in a [[competitive]] manner.,ly,competitive,57029,competitively,2112,1302
ly,complacently,manner,# in a [[complacent]] manner; overly calm and contented; not troubled.,ly,complacent,638,complacently,38,1302
ly,complementarily,manner,# in a [[complementary]] manner.,ly,complementary,8827,complementarily,41,1302
ly,defensibly,manner,# in a [[defensible]] manner.,ly,defensible,1304,defensibly,5,1302
ly,deficiently,manner,# in a [[deficient]] manner.,ly,deficient,4918,deficiently,6,1302
ly,critically,manner,# in a [[critical]] manner; with [[criticism]].,ly,critical,133311,critically,25289,1302
ly,frustratedly,manner,# in a [[frustrated]] manner.,ly,frustrated,12778,frustratedly,21,1302
ly,fraudulently,manner,# in a [[fraudulent]] manner.,ly,fraudulent,5680,fraudulently,1120,1302
ly,freakishly,manner,# in a [[freakish]] manner.,ly,freakish,240,freakishly,61,1302
ly,frenziedly,manner,# in a [[frenzied]] manner.,ly,frenzied,911,frenziedly,8,1302
ly,freshly,manner,# {{lb|en|uncommon}} in a [[rude]] or [[impertinent]] manner.,ly,fresh,55858,freshly,3064,1302
ly,frighteningly,manner,# in a [[frightening]] or [[terrifying]] manner.,ly,frightening,3065,frighteningly,219,1302
ly,frivolously,manner,# in a [[frivolous]] manner,ly,frivolous,1922,frivolously,71,1302
ly,frostily,manner,# in a [[frosty]] manner.,ly,frosty,1398,frostily,10,1302
ly,fulsomely,manner,# in a [[fulsome]] manner,ly,fulsome,139,fulsomely,12,1302
ly,evenhandedly,manner,# in an [[evenhanded]] manner.,ly,evenhanded,76,evenhandedly,11,1302
ly,furiously,manner,# in a [[furious]] manner; [[angrily]].,ly,furious,12795,furiously,1399,1302
ly,furtherly,manner,# in a {{l|en|further}} manner.,ly,further,429726,furtherly,29,1302
ly,furtively,manner,# in a [[furtive]] manner.,ly,furtive,253,furtively,137,1302
ly,fuzzily,manner,# in a [[fuzzy]] manner,ly,fuzzy,4286,fuzzily,10,1302
ly,gallantly,manner,# in a [[gallant]] or [[gentlemanly]] manner; with social graces.,ly,gallant,4087,gallantly,612,1302
ly,garishly,manner,# in a [[garish]] manner.,ly,garish,484,garishly,63,1302
ly,generally,manner,"#*: during the whole time of his abode in the university he '''generally''' spent thirteen hours of the day in study; by which assiduity besides an exact dispatch of the whole course of philosophy, he read over in a manner all classic authors that are extant{{...}}",ly,general,902027,generally,255831,1302
ly,coldly,manner,# in a [[cold]] or [[uncaring]] manner,ly,cold,94252,coldly,937,1302
ly,credibly,manner,# in a [[credible]] manner; [[believably]].,ly,credible,6694,credibly,304,1302
ly,contiguously,manner,# in a [[contiguous]] manner.,ly,contiguous,6776,contiguously,145,1302
ly,correctly,manner,# in a [[correct]] manner.,ly,correct,48095,correctly,17997,1302
ly,corruptly,manner,# in a [[corrupt]] manner.,ly,corrupt,15463,corruptly,175,1302
ly,continually,manner,# in a [[continual]] manner; [[non-stop]].,ly,continual,5134,continually,13846,1302
ly,contradictorily,manner,# in a [[contradictory]] manner.,ly,contradictory,5230,contradictorily,45,1302
ly,contralaterally,manner,# in a [[contralateral]] manner.,ly,contralateral,587,contralaterally,25,1302
ly,conveniently,manner,"# in a [[convenient]] [[manner]], form, or situation; without [[difficulty]].",ly,convenient,12146,conveniently,3002,1302
ly,convexly,manner,# in a [[convex]] manner.,ly,convex,10376,convexly,51,1302
ly,coquettishly,manner,"# in a [[coquettish]] manner, [[flirtatiously]].",ly,coquettish,124,coquettishly,13,1302
ly,cosily,manner,# in a [[cosy]] manner.,ly,cosy,535,cosily,9,1302
ly,crazily,manner,# in a crazy manner.,ly,crazy,22878,crazily,126,1302
ly,criminally,manner,# in a [[criminal]] manner.,ly,criminal,96067,criminally,1408,1302
ly,counterintuitively,manner,# in a manner [[contrary]] to [[intuition]] or [[common sense]],ly,counterintuitive,419,counterintuitively,71,1302
ly,courageously,manner,# in a [[courageous]] manner; [[bravely]]; [[boldly]].,ly,courageous,4569,courageously,561,1302
ly,courteously,manner,# in a [[courteous]] manner; with obliging [[civility]] or [[condescension]]; [[politely]].,ly,courteous,914,courteously,162,1302
ly,covertly,manner,"# in a [[covert]] manner, [[secretly]].",ly,covert,7385,covertly,1803,1302
ly,cowardly,manner,# {{lb|en|archaic}} in the manner of a coward.,ly,coward,5071,cowardly,2213,1302
ly,coyly,manner,# in a [[coy]] manner.,ly,coy,1703,coyly,122,1302
ly,fictively,manner,# in a [[fictive]] manner.,ly,fictive,444,fictively,17,1302
ly,excellently,manner,# in a manner that demonstrates [[excellence]]; very well.,ly,excellent,48550,excellently,621,1302
ly,compulsorily,manner,# in a [[compulsory]] manner,ly,compulsory,15396,compulsorily,534,1302
ly,vainly,manner,# in a [[vain]] manner; to no [[avail]].,ly,vain,7403,vainly,637,1302
ly,absently,manner,# in an [[absent-minded]] or [[abstracted]] manner. {{defdate|first attested in the mid 19<sup>th</sup> century.}}<ref name=soed>{{r:soed5|page=8}}</ref>,ly,absent,23531,absently,14,1302
ly,absorbingly,manner,# in an [[absorbing]] manner. {{defdate|first attested in the mid 19<sup>th</sup> century.}}<ref name=soed>{{r:soed5|page=9}}</ref>,ly,absorbing,6360,absorbingly,15,1302
ly,abstractedly,manner,# in an [[abstracted]] manner; [[separately]]; with [[absence of mind]]. {{defdate|first attested in the mid 17<sup>th</sup> century.}}<ref name=soed>{{r:soed5|page=10}}</ref>,ly,abstracted,4003,abstractedly,5,1302
ly,abstractly,manner,"# in an abstract state or manner; [[separately]]; [[absolutely]], as matter '''abstractly''' considered. {{defdate|first attested around 1350 to 1470.}}<ref name=soed>{{r:soed5|page=10}}</ref>",ly,abstract,26391,abstractly,499,1302
ly,ablatively,manner,# in an [[ablative]] manner. {{defdate|mid 19<sup>th</sup> century.}}<ref>{{r:soed5|page=5}}</ref>,ly,ablative,743,ablatively,15,1302
ly,accessibly,manner,# in an [[accessible]] [[manner]].,ly,accessible,44954,accessibly,71,1302
ly,accidentally,manner,# in an [[accidental]] manner; [[unexpectedly]]; by [[chance]]; [[casually]]; [[fortuitously]].,ly,accidental,10423,accidentally,25870,1302
ly,accordingly,manner,# {{lb|en|manner}} [[agreeably|agreeably]]; [[correspondingly]]; [[suitably]]; in a manner [[conformable]].,ly,according,644833,accordingly,20845,1302
ly,accountably,manner,# in an [[accountable]] manner.,ly,accountable,4924,accountably,10,1302
ly,accumulatively,manner,# in an [[accumulative]] manner,ly,accumulative,166,accumulatively,12,1302
ly,accurately,manner,# in an [[accurate]] manner; exactly; [[precisely]]; without [[error]] or [[defect]].,ly,accurate,36650,accurately,15018,1302
ly,accusingly,manner,# in an [[accusing]] manner.,ly,accusing,9031,accusingly,28,1302
ly,achingly,manner,# in an [[aching]] manner; [[sorely]].,ly,aching,619,achingly,231,1302
ly,acoustically,manner,"# {{lb|en|manner}} in an [[acoustic]] manner, or using an acoustic [[musical instrument]].",ly,acoustical,1344,acoustically,1061,1302
ly,aberrantly,manner,# in an [[aberrant]] manner; [[abnormally]]. {{defdate|late 19<sup>th</sup> century.}}<ref name=soed>{{r:soed5|page=4}}</ref>,ly,aberrant,1075,aberrantly,45,1302
ly,vacantly,manner,# in a [[vacant]] manner; [[inanely]] or [[foolishly]].,ly,vacant,21887,vacantly,20,1302
ly,vacuously,manner,"# in a [[vacuous]] manner, lacking thought.",ly,vacuous,316,vacuously,70,1302
ly,abruptly,manner,"# in an [[abrupt]] manner; without giving notice, or without the usual forms; suddenly; [[precipitously]]. {{defdate|first attested in the late 16<sup>th</sup> century.}}<ref>{{r:soed5|page=8}}</ref>",ly,abrupt,5126,abruptly,9461,1302
ly,abortively,manner,# in an [[abortive]] or [[untimely]] manner; [[immaturely]]; [[fruitlessly]]. {{defdate|first attested in the mid 16<sup>th</sup> century.}}<ref name=soed>{{r:soed5|page=7}}</ref>,ly,abortive,2615,abortively,18,1302
ly,abominably,manner,# in an [[abominable]] manner; very [[odiously]]; [[detestably]]. {{defdate|first attested around 1350 to 1470.}}<ref name=soed>{{r:soed5|page=6}}</ref>,ly,abominable,911,abominably,39,1302
ly,unintelligibly,manner,# in an [[unintelligible]] manner.,ly,unintelligible,1058,unintelligibly,31,1302
ly,unfaithfully,manner,# in an [[unfaithful]] manner.,ly,unfaithful,2105,unfaithfully,54,1302
ly,unfathomably,manner,# in an [[unfathomable]] manner; beyond understanding.,ly,unfathomable,318,unfathomably,21,1302
ly,unfeelingly,manner,# in an [[unfeeling]] manner; without [[concern]] or [[regard]] for feelings.,ly,unfeeling,205,unfeelingly,9,1302
ly,unflatteringly,manner,# in such a manner as to be [[unflattering]],ly,unflattering,946,unflatteringly,53,1302
ly,unhesitatingly,manner,# in an [[unhesitating]] manner.,ly,unhesitating,53,unhesitatingly,300,1302
ly,unnoticeably,manner,# in an [[unnoticeable]] manner.,ly,unnoticeable,204,unnoticeably,21,1302
ly,uniformly,manner,"# in a [[uniform]] manner, [[consistently]].",ly,uniform,47081,uniformly,5533,1302
ly,uniquely,manner,# in a [[unique]] manner,ly,unique,130849,uniquely,9037,1302
ly,abusively,manner,# in an [[abusive]] manner; [[rudely]]; with abusive language. {{defdate|first attested in the mid 16<sup>th</sup> century.}}<ref name=soed>{{r:soed5|page=11}}</ref>,ly,abusive,7563,abusively,94,1302
ly,universally,manner,# in a [[universal]] manner.,ly,universal,78226,universally,9143,1302
ly,unjustly,manner,# in an [[unjust]] manner,ly,unjust,3708,unjustly,1347,1302
ly,unkindly,manner,# in an [[unkind]] manner.,ly,unkind,402,unkindly,87,1302
ly,unlawfully,manner,# in a manner not conforming to the law.,ly,unlawful,7256,unlawfully,1441,1302
ly,unmanageably,manner,# in an [[unmanageable]] manner; [[uncontrollably]].,ly,unmanageable,526,unmanageably,23,1302
ly,unmistakably,manner,# in an [[unmistakable]] manner; [[unquestionably]].,ly,unmistakable,1441,unmistakably,654,1302
ly,uselessly,manner,# in a [[useless]] manner.,ly,useless,7240,uselessly,114,1302
ly,vaguely,manner,# in a [[vague]] manner.,ly,vague,7594,vaguely,2850,1302
ly,validly,manner,# in a [[valid]] manner.,ly,valid,30269,validly,883,1302
ly,exemplarily,manner,"# in an [[exemplary]] manner; ideally, admirably.",ly,exemplary,5195,exemplarily,20,1302
ly,variably,manner,# in a [[variable]] manner.,ly,variable,42110,variably,851,1302
ly,invincibly,manner,# in an [[invincible]] manner; [[unconquerably]]; [[insuperably]].,ly,invincible,3989,invincibly,13,1302
ly,invigoratingly,manner,# in an [[invigorating]] manner.,ly,invigorating,549,invigoratingly,11,1302
ly,invidiously,manner,# in an [[invidious]] manner.,ly,invidious,147,invidiously,15,1302
ly,invertedly,manner,"# in an [[inverted]] manner, or [[reverse]] order.",ly,inverted,8248,invertedly,5,1302
ly,inversely,manner,# in an [[inverse]] order or manner; by [[inversion]].,ly,inverse,9922,inversely,1690,1302
ly,inventively,manner,# in an [[inventive]] manner.,ly,inventive,3733,inventively,84,1302
ly,invasively,manner,# in an [[invasive]] manner,ly,invasive,11261,invasively,136,1302
ly,invariantly,manner,# in a manner that is [[invariant]] (without variation).,ly,invariant,6996,invariantly,19,1302
ly,invaluably,manner,# in an [[invaluable]] manner; [[inestimably]].,ly,invaluable,3960,invaluably,11,1302
ly,invalidly,manner,# in an [[invalid]] manner; without [[validity]].,ly,invalid,8849,invalidly,62,1302
ly,intrusively,manner,# in an [[intrusive]] manner; by [[intrusion]].,ly,intrusive,2449,intrusively,25,1302
ly,irrelevantly,manner,# in an [[irrelevant]] manner.,ly,irrelevant,5519,irrelevantly,12,1302
ly,jarringly,manner,# in a [[jarring]] manner.,ly,jarring,976,jarringly,65,1302
ly,joyously,manner,# in a [[joyful]] manner; [[joyfully]].,ly,joyous,1845,joyously,274,1302
ly,joyfully,manner,# in a [[joyful]] manner; [[joyously]].,ly,joyful,2392,joyfully,595,1302
ly,jovially,manner,# in a [[jovial]] manner,ly,jovial,786,jovially,51,1302
ly,jokingly,manner,# in a [[joking]] manner.,ly,joking,2120,jokingly,3378,1302
ly,inviolably,manner,# in an [[inviolable]] manner; without [[violation]] or [[violence]] of any kind.,ly,inviolable,342,inviolably,16,1302
ly,involuntarily,manner,# in an [[involuntary]] manner; done without [[conscious]] thought.,ly,involuntary,4058,involuntarily,1106,1302
ly,inwardly,manner,# in an [[inward]] manner; on the inside or to one's self.,ly,inward,4469,inwardly,1015,1302
ly,vexatiously,manner,# in a [[vexatious]] manner; so as to give [[annoyance]].,ly,vexatious,327,vexatiously,6,1302
ly,variedly,manner,# in a [[varied]] manner.,ly,varied,34141,variedly,14,1302
ly,varyingly,manner,# in a manner that [[vary|varies]].,ly,varying,31306,varyingly,82,1302
ly,vastly,manner,"# [[greatly|greatly]], in a [[vast]] manner.",ly,vast,49158,vastly,5964,1302
ly,vegetatively,manner,# in a [[vegetative]] manner; without [[sexual]] reproduction.,ly,vegetative,2443,vegetatively,345,1302
ly,verifiably,manner,# in a [[verifiable]] manner.,ly,verifiable,1524,verifiably,93,1302
ly,abaxially,manner,# in an [[abaxial]] manner.,ly,abaxial,129,abaxially,44,1302
ly,vestigially,manner,# in a [[vestigial]] manner.,ly,vestigial,1128,vestigially,14,1302
ly,vibrantly,manner,# in a [[vibrant]] manner.,ly,vibrant,8213,vibrantly,159,1302
ly,irksomely,manner,# in an [[irksome]] manner; [[tediously]].,ly,irksome,185,irksomely,5,1302
ly,viciously,manner,# in a [[vicious]] manner; [[ferociously]] or [[maliciously]].,ly,vicious,7514,viciously,1107,1302
ly,victoriously,manner,# in a [[victorious]] manner; as part of a [[victory]],ly,victorious,16571,victoriously,237,1302
ly,irregularly,manner,"# in an [[irregular]] manner; without [[rule]], [[method]], or [[order]].",ly,irregular,19843,irregularly,4206,1302
ly,irrefutably,manner,# in an [[irrefutable]] manner; beyond the possibility of [[refutation]].,ly,irrefutable,363,irrefutably,72,1302
ly,irrecoverably,manner,# in an [[irrecoverable]] manner; beyond [[recovery]].,ly,irrecoverable,110,irrecoverably,22,1302
ly,irreconcilably,manner,# in an [[irreconcilable]] manner; so as to [[preclude]] [[reconciliation]].,ly,irreconcilable,1188,irreconcilably,34,1302
ly,irrationally,manner,# in an [[irrational]] manner; without [[reason]]; in a manner contrary to reason; [[absurdly]].,ly,irrational,4004,irrationally,250,1302
ly,unfairly,manner,"# in a manner that is [[unfair]], which is not [[just]].",ly,unfair,9232,unfairly,2578,1302
ly,heartbreakingly,manner,# in a [[heartbreaking]] manner,ly,heartbreaking,1363,heartbreakingly,83,1302
ly,heartbrokenly,manner,# in a [[heartbroken]] manner.,ly,heartbroken,3297,heartbrokenly,5,1302
ly,heartedly,manner,# in a [[hearted]] manner.,ly,hearted,7061,heartedly,482,1302
ly,winningly,manner,# in a [[winning]] manner.,ly,winning,286673,winningly,61,1302
ly,wildly,manner,"# in a [[wild]], uncontrolled manner.",ly,wild,102122,wildly,4207,1302
ly,wickedly,manner,# in a [[wicked]] manner.,ly,wicked,9225,wickedly,279,1302
ly,wholeheartedly,manner,# in a [[wholehearted]] manner; with one's whole heart; [[enthusiastically]]; without reserve.,ly,wholehearted,202,wholeheartedly,811,1302
ly,welcomingly,manner,# in a [[welcoming]] manner.,ly,welcoming,4987,welcomingly,7,1302
ly,wearily,manner,# in a [[weary]] manner,ly,weary,3529,wearily,100,1302
ly,wittingly,manner,"# in a [[witting]] manner, [[intentionally]], on purpose",ly,witting,163,wittingly,64,1302
ly,watchfully,manner,# in a [[watchful]] manner.,ly,watchful,1291,watchfully,19,1302
ly,wastefully,manner,# in a [[wasteful]] manner.,ly,wasteful,1466,wastefully,59,1302
ly,waspishly,manner,# in a [[waspish]] manner.,ly,waspish,44,waspishly,5,1302
